ProfileURL,Name/Handle,Platform,FollowerCount,Email,Tags,OutreachStatus,LastScrapedAt,Region,Language,PrimaryAITool,SampleContentURL,AIGCVerdict,DiscoveredAt,Source,Notes,FeedURL,ContactSourceURL,EvidenceJSON
https://instagram.com/ai.filmmaker,@ai.filmmaker,Instagram,511,,"AIGC,Sora",New,2026-08-27T05:34:16Z,,English,GenAI,https://instagram.com/ai.filmmaker,yes,2026-08-06T14:13:11Z,"off-platform sweep (searx): ""AI filmmaker"" Sora site:instagram.com",Playwright scrape: followers=511,https://instagram.com/ai.filmmaker,,"{""platform"": ""Instagram"", ""handle"": ""@ai.filmmaker"", ""og_description"": ""511 Followers, 296 Following, 73 Posts - See Instagram photos and videos from AI Filmmaker (@ai.filmmaker)"", ""aigc_verdict"": ""yes""}"
https://instagram.com/ai__filmmaker,@ai__filmmaker,Instagram,79,,"AIGC,Sora",New,2026-08-27T05:33:54Z,,English,Midjourney,https://instagram.com/ai__filmmaker,yes,2026-08-06T14:13:11Z,"off-platform sweep (searx): ""AI filmmaker"" Sora site:instagram.com",Playwright scrape: followers=79,https://instagram.com/ai__filmmaker,,"{""platform"": ""Instagram"", ""handle"": ""@ai__filmmaker"", ""og_description"": ""79 Followers, 10 Following, 8 Posts - See Instagram photos and videos from Ai Filmmaker (@ai__filmmaker)"", ""aigc_verdict"": ""yes""}"
https://instagram.com/ai_anav,@ai_anav,Instagram,26K,,"AIGC,AI filmmaker,Instagram,verified",New,2026-08-27T05:21:43Z,,English,Midjourney,https://instagram.com/ai_anav,yes,2026-07-07T02:53:01Z,SearXNG shortlist; Instagram computer_use AX profile read 2026-07-07,Playwright scrape: followers=26K,https://instagram.com/ai_anav,,"{""platform"": ""Instagram"", ""handle"": ""@ai_anav"", ""og_description"": ""26K Followers, 2 Following, 123 Posts - See Instagram photos and videos from Anav Nayar (@ai_anav)"", ""aigc_verdict"": ""yes""}"
https://instagram.com/ai_daniels,@ai_daniels,Instagram,42K,,"AIGC,AI video,Meta,needs_graph_profile",New,2026-08-27T05:28:01Z,,English,GenAI,https://instagram.com/ai_daniels,yes,2026-08-02T10:10:28Z,SearXNG Meta site-scope: AI filmmaker instagram profile site:instagram.com,Playwright scrape: followers=42K,https://instagram.com/ai_daniels,,"{""platform"": ""Instagram"", ""handle"": ""@ai_daniels"", ""og_description"": ""42K Followers, 174 Following, 33 Posts - See Instagram photos and videos from Andrii Daniels | AI Director | Filmmaker ("", ""aigc_verdict"": ""yes""}"
https://instagram.com/ai_flime,@ai_flime,Instagram,,,"AIGC,Meta,AI video",New,2026-07-22T10:04:55Z,,,,https://www.instagram.com/ai_flime/reels/,unsure,2026-07-22T10:04:55Z,"SearXNG Meta site-scope: ""AI filmmaker"" ""AI video"" site:instagram.com",IG personal/non-business or META_IG_USER_ID unavailable; flagged for seated computer_use pass,,https://www.instagram.com/ai_flime/reels/,"{""discovery"":{""source"":""SearXNG site-scope"",""query"":""\""AI filmmaker\"" \""AI video\"" site:instagram.com"",""url"":""https://www.instagram.com/ai_flime/reels/"",""why"":""Ai Films Maker (@ai_flime) \u2022 Instagram photos and videos \u2014 5 Followers, 5 Following, 3 Posts - Ai Films Maker (@ai_flime) on Instagram: \""Ai Filmmaker Ai video creator Generative Ai Art Ai short film\""""},""profile"":{""source"":""not_available"",""status"":""no_meta_token""},""aigc_verdict"":{""source"":""not_reviewed_no_computer_use"",""verdict"":""unsure""}}"
https://instagram.com/ai_funcorner,@ai_funcorner,Instagram,"9,973",,"AIGC,Meta,AI video",New,2026-08-27T05:24:00Z,,English,GenAI,https://instagram.com/ai_funcorner,yes,2026-07-22T10:04:55Z,"SearXNG Meta site-scope: ""AI filmmaker"" ""AI video"" site:instagram.com","Playwright scrape: followers=9,973",https://instagram.com/ai_funcorner,,"{""platform"": ""Instagram"", ""handle"": ""@ai_funcorner"", ""og_description"": ""9,973 Followers, 45 Following, 108 Posts - See Instagram photos and videos from AI Filmmaker l AI Video Creator \ud83c\udfac (@ai_f"", ""aigc_verdict"": ""yes""}"
https://instagram.com/ai_mov_director,@ai_mov_director,Instagram,"3,095",,"AIGC,Meta",New,2026-08-27T05:34:36Z,,English,Sora,https://instagram.com/ai_mov_director,hybrid,2026-08-10T10:06:53Z,"SearXNG ""AI filmmaker"" ""Instagram photos and videos"" ""Sora"" -openai site:instagram.com","Playwright scrape: followers=3,095",https://instagram.com/ai_mov_director,,"{""platform"": ""Instagram"", ""handle"": ""@ai_mov_director"", ""og_description"": ""3,095 Followers, 1,122 Following, 106 Posts - See Instagram photos and videos from Volodymyr Kondratenko (VK) (@ai_mov_d"", ""aigc_verdict"": ""hybrid""}"
https://instagram.com/aiartoriginal,@aiartoriginal,Instagram,,,"AIGC,Meta,AI video",New,2026-07-22T10:04:55Z,,,,https://www.instagram.com/aiartoriginal/,unsure,2026-07-22T10:04:55Z,"SearXNG Meta site-scope: ""AI filmmaker"" ""AI video"" site:instagram.com",IG personal/non-business or META_IG_USER_ID unavailable; flagged for seated computer_use pass,,https://www.instagram.com/aiartoriginal/,"{""discovery"":{""source"":""SearXNG site-scope"",""query"":""\""AI filmmaker\"" \""AI video\"" site:instagram.com"",""url"":""https://www.instagram.com/aiartoriginal/"",""why"":""Imagine, Write and Create (@aiartoriginal) - Instagram \u2014 1,948 Followers, 3,515 Following, 434 Posts - Imagine, Write and Create (@aiartoriginal) on Instagram: \""AI Filmmaker | AI Video Creator | AI Micro Dramas | AI Cinematic Ads | Fast-paced AI Scenes\""""},""profile"":{""source"":""not_available"",""status"":""no_meta_token""},""aigc_verdict"":{""source"":""not_reviewed_no_computer_use"",""verdict"":""unsure""}}"
https://instagram.com/aicineguy,@aicineguy,Instagram,12K,,"AIGC,AI video,Meta,needs_graph_profile",New,2026-08-27T05:30:04Z,,English,,https://instagram.com/aicineguy,yes,2026-08-02T10:10:28Z,SearXNG Meta site-scope: AI filmmaker instagram profile site:instagram.com,Playwright scrape: followers=12K,https://instagram.com/aicineguy,,"{""platform"": ""Instagram"", ""handle"": ""@aicineguy"", ""og_description"": ""12K Followers, 340 Following, 58 Posts - See Instagram photos and videos from Romain Melies (@aicineguy)"", ""aigc_verdict"": ""yes""}"
https://instagram.com/aiesmars,@aiesmars,Instagram,281,,"AIGC,Meta",New,2026-08-27T05:34:54Z,,unknown,,https://instagram.com/aiesmars,yes/no/hybrid,2026-08-10T10:06:53Z,"SearXNG ""AI artist"" ""AI filmmaker"" ""Instagram"" site:instagram.com",Playwright scrape: followers=281,https://instagram.com/aiesmars,,"{""platform"": ""Instagram"", ""handle"": ""@aiesmars"", ""og_description"": ""281 Followers, 246 Following, 40 Posts - See Instagram photos and videos from ai artist (@aiesmars)"", ""aigc_verdict"": ""yes/no/hybrid""}"
